head_type,model,rank,layer,head,score
prev_token,residual,1,15,12,0.9892578125
prev_token,residual,2,16,17,0.89892578125
prev_token,residual,3,19,8,0.75048828125
prev_token,residual,4,17,9,0.5927734375
prev_token,residual,5,16,12,0.58056640625
prev_token,residual,6,23,9,0.47900390625
prev_token,residual,7,16,15,0.44189453125
prev_token,residual,8,25,10,0.43505859375
prev_token,residual,9,13,15,0.37939453125
prev_token,residual,10,12,3,0.351806640625
prev_token,mhc,1,6,2,0.91552734375
prev_token,mhc,2,6,11,0.91455078125
prev_token,mhc,3,6,1,0.77001953125
prev_token,mhc,4,5,3,0.751953125
prev_token,mhc,5,6,15,0.75048828125
prev_token,mhc,6,8,9,0.61181640625
prev_token,mhc,7,11,11,0.50244140625
prev_token,mhc,8,7,1,0.485107421875
prev_token,mhc,9,6,10,0.484375
prev_token,mhc,10,5,1,0.4365234375
prev_token,mhc_lite,1,7,14,0.9970703125
prev_token,mhc_lite,2,7,1,0.8427734375
prev_token,mhc_lite,3,7,3,0.78125
prev_token,mhc_lite,4,6,4,0.734375
prev_token,mhc_lite,5,6,8,0.53271484375
prev_token,mhc_lite,6,6,1,0.4892578125
prev_token,mhc_lite,7,7,4,0.485107421875
prev_token,mhc_lite,8,7,15,0.468505859375
prev_token,mhc_lite,9,11,19,0.458984375
prev_token,mhc_lite,10,6,16,0.447509765625
induction,residual,1,18,16,0.8974609375
induction,residual,2,18,5,0.8935546875
induction,residual,3,20,12,0.88916015625
induction,residual,4,21,4,0.83447265625
induction,residual,5,21,6,0.8154296875
induction,residual,6,20,14,0.80419921875
induction,residual,7,27,4,0.767578125
induction,residual,8,19,13,0.7578125
induction,residual,9,20,19,0.69873046875
induction,residual,10,20,8,0.67724609375
induction,mhc,1,7,17,0.92041015625
induction,mhc,2,7,8,0.85986328125
induction,mhc,3,7,3,0.853515625
induction,mhc,4,9,5,0.81982421875
induction,mhc,5,9,11,0.79931640625
induction,mhc,6,9,8,0.79638671875
induction,mhc,7,9,19,0.76806640625
induction,mhc,8,9,1,0.7431640625
induction,mhc,9,9,10,0.73193359375
induction,mhc,10,9,3,0.73046875
induction,mhc_lite,1,9,7,0.89794921875
induction,mhc_lite,2,9,14,0.8408203125
induction,mhc_lite,3,8,5,0.83984375
induction,mhc_lite,4,9,8,0.82080078125
induction,mhc_lite,5,9,0,0.79345703125
induction,mhc_lite,6,8,8,0.78515625
induction,mhc_lite,7,9,11,0.771484375
induction,mhc_lite,8,10,5,0.734375
induction,mhc_lite,9,9,16,0.72509765625
induction,mhc_lite,10,10,19,0.67138671875
duplicate,residual,1,5,11,0.87548828125
duplicate,residual,2,4,5,0.398193359375
duplicate,residual,3,3,0,0.336181640625
duplicate,residual,4,3,4,0.301025390625
duplicate,residual,5,3,19,0.300537109375
duplicate,residual,6,3,14,0.2158203125
duplicate,residual,7,3,12,0.1932373046875
duplicate,residual,8,3,1,0.1502685546875
duplicate,residual,9,4,12,0.148193359375
duplicate,residual,10,5,4,0.1103515625
duplicate,mhc,1,1,17,0.478271484375
duplicate,mhc,2,7,15,0.1578369140625
duplicate,mhc,3,1,3,0.117431640625
duplicate,mhc,4,1,2,0.10552978515625
duplicate,mhc,5,24,16,0.087890625
duplicate,mhc,6,14,11,0.0806884765625
duplicate,mhc,7,34,4,0.07403564453125
duplicate,mhc,8,30,7,0.072021484375
duplicate,mhc,9,24,11,0.07171630859375
duplicate,mhc,10,30,16,0.069091796875
duplicate,mhc_lite,1,2,18,0.8681640625
